"lon","lat","grids","continent","WE","sd_MAT","sd_MAP","sd_NPP","sd_ALT"
-8787952.2299,2097669.6737,"v15559","North_America",1284.54917332534,12.3239216202154,377.446157469838,16446114996.7383,320.14280784833
-8687952.2299,2097669.6737,"v15560","North_America",573.231439525458,4.30408744744934,171.33958952544,30330170690.9908,67.3110279916728
-8587952.2299,2097669.6737,"v15561","North_America",762.520957917509,10.6847904842998,413.896075778417,115044812953.537,236.200888726495
-6887952.2299,-6902330.3263,"v15570","Antarctica",0.113417528303884,NA,NA,NA,NA
-6787952.2299,-6902330.3263,"v15571","Antarctica",0.113417528303884,NA,NA,NA,NA
-6687952.2299,-6902330.3263,"v15572","Antarctica",0.142115676618454,NA,NA,NA,NA
-6587952.2299,-6902330.3263,"v15573","Antarctica",0.142115676618454,NA,NA,NA,NA
-6487952.2299,-6902330.3263,"v15574","Antarctica",0.142115676618454,NA,NA,NA,NA
-6387952.2299,-6902330.3263,"v15575","Antarctica",0.000635318751987,NA,NA,NA,NA
-6287952.2299,-6902330.3263,"v15576","Antarctica",0.000635318751987,NA,NA,NA,NA
-6187952.2299,-6902330.3263,"v15577","Antarctica",0.182510650403125,NA,NA,NA,NA
-6087952.2299,-6902330.3263,"v15578","Antarctica",0.251799309494202,NA,NA,NA,NA
-5987952.2299,-6902330.3263,"v15579","Antarctica",0.251799309494202,NA,NA,NA,NA
-1487952.2299,2097669.6737,"v15596","Africa",110.51469780922,3.64967477200096,26.433229208102,10426972594.39,11.5551274286187
-1387952.2299,2097669.6737,"v15598","Africa",77.3267980335543,5.10926478954085,20.5342347815971,4947943486.87598,13.8828975168864
-1287952.2299,2097669.6737,"v15600","Africa",55.7559493312586,1.40639356527926,20.9140207067329,5318531421.9902,23.1042422176319
-1187952.2299,2097669.6737,"v15602","Africa",31.4683949375582,5.10670236584121,30.1246401150914,5677028887.82388,100.696628616765
-1087952.2299,2097669.6737,"v15604","Africa",24.9296763028788,2.60946557686242,34.7139715920825,7353186691.75032,56.9917569961417
-987952.229899999,2097669.6737,"v15606","Africa",15.447619849019,3.22775821132053,17.905374645984,7613361223.40386,61.1626374325712
-887952.229899999,2097669.6737,"v15608","Africa",15.702659722037,1.88134367902699,19.4162772074664,9014386681.83099,17.1704669787177
-787952.229899999,2097669.6737,"v15610","Africa",17.9136408117803,2.24100043015195,21.6882749868267,9942746615.30342,14.171897268492
-687952.229899999,2097669.6737,"v15612","Africa",19.4852595673781,5.10499179460842,31.1745992512775,7095702472.18893,71.6473584942882
-587952.229899999,2097669.6737,"v15614","Africa",16.3098377995954,2.35872339398543,20.6022081840339,4954586538.96263,14.3994429748172
-487952.229899999,2097669.6737,"v15616","Africa",23.6574438746133,2.26230633447406,21.2024049799716,4292875482.11121,8.00501992530971
-387952.229899999,2097669.6737,"v15618","Africa",47.9163987003337,1.21246829338467,24.457908111379,5394739151.93236,18.8646342482939
-287952.229899999,2097669.6737,"v15620","Africa",64.2741722912833,1.79667229232308,32.1346668641436,4488677680.91544,5.85354696679037
-187952.229899999,2097669.6737,"v15622","Africa",62.1049466355262,1.81661058525175,24.969222190281,5196538742.41826,15.2065876018911
-87952.2298999988,2097669.6737,"v15624","Africa",61.1855039838256,1.06651022605621,17.9841798536279,3691323421.68106,25.8898739004629
12047.7701000012,2097669.6737,"v15626","Africa",53.5389088328603,1.46238580434935,15.5858172361333,3375042113.44859,17.9660814637756
1212047.7701,-6902330.3263,"v15627","Antarctica",0.142115676618454,NA,NA,NA,NA
112047.770100001,2097669.6737,"v15628","Africa",32.8863489408705,0.830683352779668,12.7490472273832,2283937342.46739,23.9131817519981
212047.770100001,2097669.6737,"v15630","Africa",28.8360184478689,1.93392891695602,13.4365278173276,2227179750.21773,34.5539572616072
312047.770100001,2097669.6737,"v15632","Africa",23.1063865039045,2.10854111581663,12.5123450047508,2437839264.77794,42.7845990861564
