"grids","WE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat"
"v117",1510.44086588539,424.317203154197,448.843701680144,2.48743910074421,61273085064.5199,-7187952.2299,997669.673699999
"v118",2965.01092825303,924.292589195089,508.892209216406,5.75769494633416,227671235921.596,-7087952.2299,997669.673699999
"v119",5011.58483022869,763.688428098275,349.994040852588,4.10953314434788,144377317995.678,-6987952.2299,997669.673699999
"v1194",2781.69186795691,169.358236812742,541.131438714722,0.707521225893481,87504541377.5512,-7687952.2299,-102330.326300001
"v1195",6468.73951065383,822.047463105597,497.667333025522,4.54462088226867,63979534479.6136,-7587952.2299,-102330.326300001
"v1196",9151.30673774342,969.687320397552,926.846767557342,4.69832457715155,268424837836.674,-7487952.2299,-102330.326300001
"v1197",1518.89410031403,30.8329662808453,197.649728120771,0.200538961428832,7005366963.30499,-7387952.2299,-102330.326300001
"v12",1825.67672127578,232.175752786292,360.688800086281,1.38191934141108,141332209643.161,-6987952.2299,1097669.6737
"v120",3961.04811068906,771.335041614455,245.321694991737,4.40449981117684,129586568668.013,-6887952.2299,997669.673699999
"v1247",1322.93938772656,149.651011235173,102.261007005763,0.918281122890463,65961153805.1702,2712047.7701,-102330.326300001
"v1248",2895.4373198356,333.993796934362,224.496301320442,2.28986670331241,140711474117.043,2812047.7701,-102330.326300001
"v1249",2474.54420916911,255.263730273552,142.357167762666,1.59688742753167,84437607235.5242,2912047.7701,-102330.326300001
"v1254",1805.33686450638,281.024025546761,266.416150468467,1.76052008185467,71085071388.0867,3412047.7701,-102330.326300001
"v1255",1915.09718961895,376.871326615311,312.164786119416,2.28319883536622,96151347262.8763,3512047.7701,-102330.326300001
"v1256",1463.2387925037,290.250666285138,265.607517541068,1.53183217647475,131100120654.904,3612047.7701,-102330.326300001
"v1289",1557.52609327827,192.414023637622,131.716205283333,1.03651276093861,365655133288.921,12712047.7701,-102330.326300001
"v1290",1680.76033173124,424.899171735111,119.47625853071,2.09260954705115,166695932316.741,12812047.7701,-102330.326300001
"v1291",1803.61195585343,730.80638655265,208.058657122201,3.80472264031446,198995765805.047,12912047.7701,-102330.326300001
"v1298",1481.33954347817,158.919624652811,235.990660298971,0.726389452132391,101413928306.986,-7787952.2299,-202330.326300001
"v1299",2666.33516103781,352.584419478624,390.343959121355,1.28018794354049,84816200200.7407,-7687952.2299,-202330.326300001
"v13",3721.82103740008,1279.87885862502,271.265959011156,7.21209648882606,150159809724.701,-6887952.2299,1097669.6737
"v1300",7842.97777177981,723.508544947523,496.297630148453,4.01660147944182,90928921441.6768,-7587952.2299,-202330.326300001
"v1301",5757.55367906851,338.266715220804,388.818762532298,1.66589695237029,69074181307.9844,-7487952.2299,-202330.326300001
"v13335",1218.49828759578,1021.68663302748,577.637384297736,5.81688758512256,145103640652.045,9112047.7701,3497669.6737
