"lon","lat","grids","PE","continent","sd_MAT","sd_MAP","sd_NPP","sd_ALT"
-10313134.0786,5003780.9477,"v4229",2.87787847834268,"North_America",12.1822735892942,52.1747986044266,27694383999.8034,311.868982302445
-10113134.0786,5003780.9477,"v4230",2.28278470265716,"North_America",9.69161453585493,43.3704065979107,32400417591.3875,251.810739675747
-9913134.0786,5003780.9477,"v4231",2.44581577037028,"North_America",5.92993804276758,31.8122584383122,32394163954.1729,215.61226827359
-9713134.0786,5003780.9477,"v4232",2.44581577037028,"North_America",3.03331176077564,43.0779151034384,27268769060.2371,152.390726448798
-9513134.0786,5003780.9477,"v4233",2.67333144501879,"North_America",4.84926140402191,33.4491173572768,19095709999.194,98.7318340179516
-9313134.0786,5003780.9477,"v4234",2.50255911978374,"North_America",8.62826999974586,47.7161833742908,13630472737.7097,53.6687632977598
-9113134.0786,5003780.9477,"v4235",2.97632383465343,"North_America",5.92994181167272,39.9562363284311,15085978755.6919,38.9492413060068
-8913134.0786,5003780.9477,"v4236",3.48947559685041,"North_America",6.23955419723681,26.4500566377903,20355796666.9835,41.6790715952353
-8713134.0786,5003780.9477,"v4237",5.41176763603711,"North_America",6.16673356213374,30.8900537017505,14073409820.5316,42.3029324861764
-8513134.0786,5003780.9477,"v4238",8.44394124486778,"North_America",5.95490470459364,42.5680721727552,104034501266.401,45.5459553279429
-8313134.0786,5003780.9477,"v4239",5.92611120899095,"North_America",7.27169823242302,38.0546157377189,130740556900.218,53.6918039479106
-8113134.0786,5003780.9477,"v4240",5.98181824158299,"North_America",6.28404108309683,35.7456784694687,48407346783.7666,45.9477206633897
-7913134.0786,5003780.9477,"v4241",5.9998915747287,"North_America",9.01608058854634,67.9299801979398,100125312541.564,51.6342191461854
-7713134.0786,5003780.9477,"v4242",14.9040285740609,"North_America",10.3255181539621,95.6344138522647,109827007800.923,118.892122549829
-7513134.0786,5003780.9477,"v4243",14.9040285740609,"North_America",7.52509906434322,90.725926715918,105152175603.06,187.319995695164
-7313134.0786,5003780.9477,"v4244",12.4777514169452,"North_America",10.5540903129795,114.99645529152,82314009231.3747,170.255174260966
-7113134.0786,5003780.9477,"v4245",14.0165295250418,"North_America",13.2978412398886,107.191613923362,15967582224.1646,217.486969393092
-6913134.0786,5003780.9477,"v4246",9.42284982830505,"North_America",14.1725507788811,70.3989106589822,93907225368.1279,166.843286178814
-6713134.0786,-3796219.0523,"v4251",15.4091933462538,"South_America",58.2722056821969,49.7222581249076,19889908874.2371,1085.23376140195
-6513134.0786,-3796219.0523,"v4252",10.2371052729886,"South_America",17.7889480063928,89.2236233815665,51858932389.4256,400.289832862485
-6313134.0786,-3796219.0523,"v4254",30.1077897674176,"South_America",25.3873525752027,79.9365189140743,74262381642.8773,435.637221252706
